,Word,Count,Length,Frequency
910,eare,15,4,Frequent
911,truster,1,7,Unique
912,report,5,6,Infrequent
913,elsenour,1,8,Unique
914,weel,11,4,Frequent
915,teach,4,5,Infrequent
916,drinke,14,6,Frequent
917,deepe,3,5,Infrequent
918,depart,1,6,Unique
919,fune,1,4,Unique
920,mock,2,4,Infrequent
921,fellow,8,6,Infrequent
922,student,1,7,Unique
923,mothers,5,7,Infrequent
924,wedding,1,7,Unique
925,hard,3,4,Infrequent
926,thrift,4,6,Infrequent
927,bakt,1,4,Unique
928,coldly,2,6,Infrequent
929,furnish,1,7,Unique
930,forth,4,5,Infrequent
931,tables,3,6,Infrequent
932,met,1,3,Unique
933,dearest,1,7,Unique
934,foe,2,3,Infrequent
935,thinkes,5,7,Infrequent
936,minds,2,5,Infrequent
937,saw,13,3,Frequent
938,goodly,3,6,Infrequent
939,yesternight,1,11,Unique
940,admiration,3,10,Infrequent
941,while,12,5,Frequent
942,attent,1,6,Unique
943,deliuer,2,7,Infrequent
944,witnesse,1,8,Unique
945,gentlemen,11,9,Frequent
946,maruell,1,7,Unique
947,their,45,5,Frequent
948,wast,4,4,Infrequent
949,middle,1,6,Unique
950,beene,12,5,Frequent
951,encountred,1,10,Unique
952,armd,4,4,Infrequent
953,points,2,6,Infrequent
954,exactly,1,7,Unique
955,cap,3,3,Infrequent
956,pe,1,2,Unique
957,appeares,3,8,Infrequent
958,sollemne,1,8,Unique
959,slow,1,4,Unique
